date,T1,T3,T6,T5,T8,T10
2008-08-31,7.352853041464797e-05,7.461393237095109e-12,4.911141601261847e-10,1.4682816918541306e-12,0.0045492895936656815,1.420872209371894e-07
2008-09-30,3.773928087444877e-05,1.2733601218113524e-11,2.6683866669896756e-12,2.5620990624319613e-13,9.456071086058467e-05,1.2235396096088206e-12
2008-10-31,4.579408481229239e-10,3.399409036691189e-14,1.5734901180541614e-15,1.8443723914392488e-11,4.7208760880477416e-11,3.34219967458497e-14
2008-11-30,,,,,,
2008-12-31,6.8919748429650605e-09,2.3305932086299386e-14,5.923202190616326e-14,4.729682378175035e-11,5.083333209317512e-09,2.372044284501444e-11
2009-01-31,3.121315358909575e-08,1.541408931836067e-11,3.6467045565661204e-11,1.0431168672827603e-08,1.9225723671074452e-10,3.770457379526615e-09
2009-02-28,,,,,,
2009-03-31,3.1105972373735935e-08,1.348264786420787e-15,1.3671603418695409e-14,3.8282799424871154e-12,1.761885585891875e-09,6.604325766292776e-14
2009-04-30,2.6256238999455164e-09,1.2964387518323567e-15,8.350712168640569e-15,9.987580314171388e-14,1.3507594381207465e-09,9.05407068143414e-13
2009-05-31,,,,,,
2009-06-30,1.3515635492117522e-10,6.860289226656369e-14,3.864269290036052e-13,1.6280168012670825e-11,5.493192055540153e-08,9.130199969489472e-13
2009-07-31,,,,,,
2009-08-31,2.5296740753094405e-09,1.026993840482857e-15,1.869716749083283e-14,2.8957596918893443e-14,1.640347191016833e-09,2.0919012483395491e-13
2009-09-30,3.087363537375613e-09,2.1664755603374088e-16,5.233358973825325e-16,1.9339141342885605e-14,4.160207479440709e-09,5.245877304665674e-14
2009-10-31,,,,,,
2009-11-30,1.724195318536383e-10,1.318052655893372e-14,1.0134782029270763e-13,3.652147094653609e-14,1.2267412770178356e-09,5.648814108560705e-12
2009-12-31,1.1115342472628458e-08,3.648958813141332e-13,8.010528188407132e-13,5.140214928556592e-13,3.9860094800781857e-07,3.062591871755248e-10
2010-01-31,1.8653734527938407e-10,3.517545388188144e-11,3.9053469972164055e-09,1.7992718288356621e-10,4.239620238741846e-09,7.912241851947418e-09
2010-02-28,,,,,,
2010-03-31,7.279949158054637e-11,8.586841172075009e-15,1.3787715874493092e-12,3.7266878782341775e-13,3.654822674377451e-10,1.2770356472006525e-11
2010-04-30,1.40502152445114e-10,1.2929676883514286e-11,1.3037694201442548e-09,2.676723856191831e-11,3.942939177990039e-09,4.798742186156827e-08
2010-05-31,,,,,,
2010-06-30,2.250001053822525e-06,8.823862701673526e-11,5.063907405416719e-10,9.077197514214432e-11,4.902833095045846e-07,2.151316217200647e-08
2010-07-31,,,,,,
